,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,gps_code,iata_code
58656,medium_airport,Bukhara Airport,39.775001525878906,64.4832992553711,751.0,AS,UZ,UTSB,BHK
58657,small_airport,Shakhristabz Airport,39.06909942626953,66.75430297851562,1900.0,AS,UZ,UTSH,
58658,small_airport,Karshi-Khanabad Air Base,38.833599,65.921501,1365.0,AS,UZ,UTSL,
58659,small_airport,Tandy Bulak Airport,41.76079177856445,64.60240173339844,716.0,AS,UZ,UTSM,
58660,small_airport,Sugraly Airport,41.61389923095703,64.23320007324219,1396.0,AS,UZ,UTSN,AFS
58661,small_airport,Sariasiya Airport,38.41059875488281,67.94519805908203,1949.0,AS,UZ,UTSR,
58662,medium_airport,Samarkand Airport,39.70050048828125,66.98380279541016,2224.0,AS,UZ,UTSS,SKD
58663,medium_airport,Termez Airport,37.28670120239258,67.30999755859375,1027.0,AS,UZ,UTST,TMJ
58664,small_airport,Uchkuduk Airport,42.083099365234375,63.44929885864258,416.0,AS,UZ,UTSU,
58665,medium_airport,Tashkent East Airport,41.31269836425781,69.39140319824219,1574.0,AS,UZ,UTTP,
58666,large_airport,Tashkent International Airport,41.257900238,69.2811965942,1417.0,AS,UZ,UTTT,TAS
58667,small_airport,Ustupo Airport,9.1283,-77.9337,9.0,,PA,,UTU
58668,medium_airport,Kostroma Sokerkino Airport,57.7969017029,41.0194015503,446.0,EU,RU,UUBA,KMW
58670,medium_airport,Grabtsevo Airport,54.5499992371,36.3666687012,656.0,EU,RU,UUBC,KLF
58671,medium_airport,Dyagilevo Air Base,54.64469909667969,39.57040023803711,440.0,EU,RU,UUBD,
58672,medium_airport,Ivanovo South Airport,56.93939971923828,40.940799713134766,410.0,EU,RU,UUBI,IWA
58673,medium_airport,Staroselye Airport,58.10419845581055,38.92940139770508,423.0,EU,RU,UUBK,RYB
58674,medium_airport,Semyazino Airport,56.12670135498047,40.31499862670898,554.0,EU,RU,UUBL,
58675,medium_airport,Myachkovo Airport,55.5600013733,37.9850006104,410.0,EU,RU,UUBM,
58676,small_airport,Zmeyevo Airfield,56.915001,35.935001,472.0,EU,RU,UUBN,
58677,medium_airport,Bryansk Airport,53.214199,34.176399,663.0,EU,RU,UUBP,BZK
58678,small_airport,Sharya Airport,58.391989,45.554466,120.0,EU,RU,UUBQ,
58679,large_airport,Zhukovsky International Airport,55.553299,38.150002,377.0,EU,RU,UUBW,ZIA
58680,large_airport,Domodedovo International Airport,55.40879821777344,37.90629959106445,588.0,EU,RU,UUDD,DME
58681,small_airport,Tunoshna Airport,57.56069946289063,40.15739822387695,287.0,EU,RU,UUDL,IAR
58682,large_airport,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,UUEE,SVO
58683,small_airport,Kimry Airfield,56.798302,37.330002,449.0,EU,RU,UUEI,
58684,medium_airport,Migalovo Air Base,56.82469940185547,35.7577018737793,469.0,EU,RU,UUEM,KLD
58685,small_airport,Selnikovo Airfield,55.129783,39.145733,351.0,EU,RU,UUMD,
58686,small_airport,Stupino Air Base,54.888,38.147,584.0,EU,RU,UUMI,
58687,small_airport,Severka Airfield,55.206,38.677,433.0,EU,RU,UUML,
58688,medium_airport,Ostafyevo International Airport,55.511667,37.507222,568.0,EU,RU,UUMO,OSF
58690,medium_airport,Tretyakovo Airport,54.9049987793,39.02666854859999,515.0,EU,RU,UUMT,
58691,medium_airport,Chkalovskiy Air Base,55.8783,38.061699,499.0,EU,RU,UUMU,CKL
58692,medium_airport,Belgorod International Airport,50.643798828125,36.5900993347168,735.0,EU,RU,UUOB,EGO
58693,small_airport,Pridacha Airport,51.65227127075195,39.25552368164063,344.0,EU,RU,UUOD,
58694,medium_airport,Kursk East Airport,51.7505989074707,36.29560089111328,686.0,EU,RU,UUOK,URS
58695,medium_airport,Lipetsk Airport,52.70280075073242,39.53779983520508,584.0,EU,RU,UUOL,LPK
58696,medium_airport,Voronezh International Airport,51.81420135498047,39.22959899902344,514.0,EU,RU,UUOO,VOZ
58697,small_airport,Tomarovka Aerodrome,50.6945,36.2922,656.0,EU,RU,,
58698,medium_airport,Oryol Yuzhny Airport,52.9347000122,36.0022010803,656.0,EU,RU,UUOR,OEL
58699,small_airport,Stary Oskol Airfield,51.329216,37.768848,791.0,EU,RU,UUOS,
58700,medium_airport,Donskoye Airport,52.806098937988,41.482799530029,413.0,EU,RU,UUOT,TBW
58702,small_airport,Zavidovo Air Park (U.C.),56.553558,36.559481,1562.0,EU,RU,UUTZ,
58703,small_airport,Manumu Airport,-9.0746,147.5735,1800.0,OC,PG,,UUU
58705,medium_airport,Yermolino Air Base,55.228333,36.608334,640.0,EU,RU,UUWE,
58706,small_airport,Turlatovo Airport,54.55590057373047,39.855201721191406,502.0,EU,RU,UUWR,RZN
58707,small_airport,Klokovo Airfield,54.239,37.6,499.0,EU,RU,UUBT,TYA
58708,large_airport,Vnukovo International Airport,55.5914993286,37.2615013123,685.0,EU,RU,UUWW,VKO
58709,medium_airport,Ukhta Airport,63.56689834594727,53.8046989440918,482.0,EU,RU,UUYH,UCT
58710,medium_airport,Inta Airport,66.0548324584961,60.11032104492188,184.0,AS,RU,UUYI,INA
58711,medium_airport,Vuktyl Airport,63.82329940795898,57.27999877929688,358.0,EU,RU,UUYK,
58712,small_airport,Yemva Airport,62.6054000854,50.925201416,,EU,RU,UUYM,
58713,medium_airport,Pechora Airport,65.12110137939453,57.13079833984375,98.0,EU,RU,UUYP,PEX
58714,medium_airport,Usinsk Airport,66.00469970703125,57.3671989440918,262.0,EU,RU,UUYS,USK
58715,small_airport,Ust-Kulom Airport,61.68999862670898,53.709999084472656,,EU,RU,UUYT,
58716,medium_airport,Izhma Airport,65.03170013427734,53.970001220703125,230.0,EU,RU,UUYV,
58717,medium_airport,Vorkuta Airport,67.48860168457031,63.99309921264648,604.0,AS,RU,UUYW,VKT
58718,medium_airport,Ust-Tsylma Airport,65.43729400630001,52.20033645629999,262.0,EU,RU,UUYX,UTS
58719,medium_airport,Syktyvkar Airport,61.64699935913086,50.84510040283203,342.0,EU,RU,UUYY,SCW
58720,small_airport,Bolshoye Boldino Airport,55.02000045776367,45.31499862670898,,EU,RU,UWGB,
58721,medium_airport,Nizhny Novgorod Strigino International Airport,56.230098724365,43.784000396729,256.0,EU,RU,UWGG,GOJ
58722,medium_airport,Bugulma Airport,54.63999938964844,52.801700592041016,991.0,EU,RU,UWKB,UUA
58723,large_airport,Kazan International Airport,55.606201171875,49.278701782227,411.0,EU,RU,UWKD,KZN
58724,medium_airport,Begishevo Airport,55.564701080322266,52.09249877929688,643.0,EU,RU,UWKE,NBC
58725,large_airport,Borisoglebskoye Airport,55.86669921875,49.13330078125,213.0,EU,RU,UWKG,
58726,small_airport,Chistopol Airport,55.3057975769043,50.61598587036133,604.0,EU,RU,UWKI,
58727,medium_airport,Yoshkar-Ola Airport,56.70059967041016,47.90470123291016,348.0,EU,RU,UWKJ,JOK
58728,medium_airport,Cheboksary Airport,56.09030151367188,47.3473014831543,558.0,EU,RU,UWKS,CSY
58729,medium_airport,Zhigansk Airport,66.7965011597,123.361000061,292.0,AS,RU,UEVV,ZIX
58731,medium_airport,Ulyanovsk Baratayevka Airport,54.26829910279999,48.226699829100006,463.0,EU,RU,UWLL,ULV
58732,small_airport,Soldatskaya Tashla Airfield,54.0152837323,48.3060264587,673.0,EU,RU,UWLS,
58733,medium_airport,Ulyanovsk East Airport,54.4010009765625,48.80270004272461,252.0,EU,RU,UWLW,ULY
58734,small_airport,Adamovka,51.5,59.936111,,EU,RU,UWOD,
58735,small_airport,Kvarkeno Airport,52.077797,59.686542,,EU,RU,UWOH,
58736,medium_airport,Orenburg Central Airport,51.79579925537109,55.45669937133789,387.0,EU,RU,UWOO,REN
58737,medium_airport,Orsk Airport,51.0724983215332,58.59560012817383,909.0,EU,RU,UWOR,OSW
58738,small_airport,Svetlyy Airport,50.800721,60.902367,978.0,EU,RU,UWOS,
58739,medium_airport,Penza Airport,53.110599517822266,45.02109909057617,614.0,EU,RU,UWPP,PEZ
58740,medium_airport,Saransk Airport,54.12512969970703,45.21225738525391,676.0,EU,RU,UWPS,SKX
58741,medium_airport,Balakovo Airport,51.8582992554,47.7456016541,95.0,EU,RU,UWSB,BWO
58742,large_airport,Gagarin International Airport,51.712778,46.171111,103.0,EU,RU,UWSG,GSV
58743,small_airport,Krasny Kut Airport,50.955458,46.949901,177.0,EU,RU,UWSK,
58745,small_airport,Sibay Airport,52.68741226196289,58.71480178833008,1309.0,EU,RU,UWUA,
58746,small_airport,Beloretsk Airport,53.938389,58.340113,1827.0,EU,RU,UWUB,BCX
58747,small_airport,Neftekamsk Airport,56.1068992615,54.3471984863,456.0,EU,RU,UWUF,NEF
58748,small_airport,Oktyabrskiy Airport,54.4399986267,53.3883018494,377.0,EU,RU,UWUK,OKT
58749,medium_airport,Maksimovka Airport,54.83000183105469,56.16830062866211,325.0,EU,RU,UWUM,
58750,large_airport,Ufa International Airport,54.557498931885,55.874401092529,449.0,EU,RU,UWUU,UFA
58751,small_airport,Aktanysh Airport,55.6975,54.0677,378.0,EU,RU,UWUZ,
58752,medium_airport,Buguruslan Severny Airport,53.71839904789999,52.3718986511,728.0,EU,RU,UWWB,
58753,small_airport,Verkhneye Sancheleyevo Airfield,53.6960966684,49.491519928,246.0,EU,RU,UWWE,
58754,medium_airport,Bezymyanka Airfield,53.220001220703125,50.32500076293945,135.0,EU,RU,UWWG,
58755,small_airport,Smyshlyayevka Airport,53.2400016784668,50.375,131.0,EU,RU,UWWS,
58756,small_airport,Tolyatti Airport,53.596274392400005,49.3781161308,230.0,EU,RU,UWWT,
58757,large_airport,Kurumoch International Airport,53.504901885986,50.16429901123,477.0,EU,RU,UWWW,KUF
58758,small_airport,Villa Independencia Airport,-33.14196,-58.293759,52.0,SA,UY,SUFB,
58759,small_airport,Rocha Airport,-34.4781,-54.2799,91.0,SA,UY,,
58761,small_airport,Garcia Brum Airstrip,-32.396295,-56.588257,448.0,SA,UY,,
58762,small_airport,Joaquín Lenzina Airport,-31.868851,-55.498746,,SA,UY,,
58763,small_airport,Ansina Airstrip,-31.869065,-55.491636,,SA,UY,,
58764,small_airport,La Lata Aeroclub Airport,-30.952597,-55.5353,743.0,SA,UY,,
